,UrbanRural,TotalIncomeLastYear,Race,TotalExpLastQ,KidsCount,LogIncome,LogExpenditure
94,1,41980,1,15666.9999,3,10.64494859,9.659311862
95,1,343084,1,31226.5001,3,12.74573059,10.34902238
96,1,258200,1,71753.184,1,12.46148976,11.18098751
98,1,39132,1,16702,0,10.57469583,9.723283752
99,1,33300,1,7635,0,10.41331268,8.940498218
100,1,32229,1,41882.2499,0,10.38062195,10.64261739
101,1,2400,2,725,0,7.783224016,6.586171655
102,1,126000,1,19973.5332,0,11.74403719,9.902163336
103,1,25960,1,17288.6333,2,10.16431217,9.75780453
104,1,68000,1,9054.4999,4,11.12726298,9.11101714
105,1,32000,1,9488,0,10.37349118,9.157783121
106,1,11304,2,1247.2501,0,9.332911924,7.128696487
108,1,79836,1,10376.25,0,11.28772981,9.24727482
109,2,50000,1,25612.1501,3,10.81977828,10.15082213
110,1,30000,6,10609.75,0,10.30895266,9.269528669
111,1,12000,1,4029.3001,0,9.392661929,8.301347967
113,1,28226,1,6207,0,10.24799882,8.733432966
114,2,110041,1,14775.0002,0,11.6086083,9.600691856
115,1,48285,1,13857.7501,0,10.78487623,9.536599929
116,1,142154,2,18440.7,0,11.86466626,9.822315457
118,1,38826,1,10566,0,10.5668454,9.265396578
119,1,110426,1,36978.4501,0,11.61210089,10.51809059
120,1,67000,1,6284.5001,0,11.1124479,8.745841579
121,1,79968,1,46184.0499,0,11.28938183,10.74038978
122,1,21126,2,6135.5,0,9.958259788,8.721846853
123,1,40000,1,9068,0,10.59663473,9.112507012
125,1,147100,1,21035.2501,0,11.89886791,9.953954886
126,1,55000,1,17470.0001,0,10.91508846,9.768240409
127,1,70000,4,10061.7501,0,11.15625052,9.216496395
128,1,7200,1,4094,0,8.881836305,8.317277766
129,1,54915,1,8990.5001,0,10.91354181,9.103923754
131,1,107010,1,17966,0,11.58067757,9.796236362
132,1,30000,1,15776.75,0,10.30895266,9.666292616
133,2,18108,1,3711,0,9.804109109,8.219056661
135,1,70000,1,21864.75,1,11.15625052,9.99263103
136,1,16194,1,6090,0,9.692396082,8.714403361
137,1,1600,2,6258,0,7.377758908,8.741615924
138,1,80000,1,11432,0,11.28978191,9.34417172
139,1,37625,1,9198.9999,0,10.535424,9.126850051
140,1,89416,1,14444.75,3,11.40105492,9.578086306
141,1,110000,1,23034.75,3,11.60823564,10.04475922
143,1,10000,1,1672.2499,0,9.210340372,7.421925244
144,1,98000,1,20111.7833,0,11.49272276,9.909061156
145,1,3600,2,5774.95,1,8.188689124,8.661284877
146,1,67656,1,17673.2501,1,11.12219132,9.779807482
147,1,43000,1,14246.8499,0,10.66895539,9.564291102
148,1,2501,1,17537,2,7.824445931,9.772068214
149,1,180000,5,15681.5,1,12.10071213,9.660236953
150,1,62876,1,18081.8,0,11.04891981,9.802661187
151,1,120000,1,6757.2832,0,11.69524702,8.818376195
152,1,81956,1,9386.1999,0,11.3139378,9.146995794
154,1,75000,2,10376.5999,0,11.22524339,9.24730854
155,1,43000,1,13944.2499,0,10.66895539,9.542822509
156,2,27071,1,4375.6501,0,10.20621832,8.383810382
157,1,121000,1,16595.5001,0,11.70354582,9.716886859
158,1,39588,1,8755.2499,0,10.58628132,9.077408788
159,1,7800,1,6891.5001,4,8.961879013,8.838044062
160,1,47437,1,10697.25,0,10.76715779,9.277741978
161,1,109686,1,14103.8,0,11.60537702,9.554199544
162,1,136,1,19189,0,4.912654886,9.862092477
163,1,53000,1,8412.3501,0,10.87804719,9.037456155
164,1,89101,1,17068.7498,1,11.39752584,9.745004574
165,1,89000,1,14653.7499,1,11.39639165,9.592451548
166,1,140000,1,26049.5,0,11.8493977,10.16775385
167,2,17837,1,6324.25,0,9.789030231,8.752146729
168,1,40328,2,8308.85,0,10.6048013,9.025076491
169,1,25428,1,11426,0,10.14360621,9.343646739
170,1,79000,1,14767.7999,1,11.27720313,9.600204407
171,1,29500,1,11006.4999,0,10.29214554,9.306241277
172,1,90102,1,12635,0,11.40869764,9.44422602
173,1,83000,1,11390.5001,1,11.32659589,9.340534962
175,1,20052,1,20607.75,0,9.906084178,9.933422498
179,1,29026,1,5809,0,10.27594726,8.667163718
180,1,15300,1,8633.5,1,9.635608107,9.063405264
181,1,66372,1,26939,0,11.10303056,10.20133033
182,1,8500,4,6341.5001,0,9.047821442,8.754870628
183,1,70000,1,12231.7501,0,11.15625052,9.411790317
184,1,343084,1,31271.7833,0,12.74573059,10.35047148
185,1,109200,1,15329.5001,0,11.60093634,9.637534362
186,1,12132,1,2281,0,9.403601869,7.732369222
187,2,19446,1,4253,0,9.875396672,8.355379895
188,1,93670,1,17752.75,0,11.44753325,9.784295712
189,1,109000,1,15458.1001,2,11.59910316,9.645888423
190,1,67000,1,14595.5001,3,11.1124479,9.588468548
191,1,100000,1,43339.3501,0,11.51292546,10.67681628
192,1,43000,2,9454.7999,0,10.66895539,9.154277817
193,1,74000,1,12412,0,11.21182037,9.426419026
194,2,9926,1,4024.05,0,9.202912856,8.300044137
197,1,143000,1,11684.7499,1,11.87059991,9.366039843
198,1,4999,4,8735.4999,0,8.516993171,9.07515045
199,1,228000,1,20180.25,0,12.33710091,9.912459682
200,1,60000,1,11138.25,0,11.00209984,9.31814041
201,1,63920,1,13358.5,0,11.06538758,9.499908165
202,1,44252,6,9633.0499,0,10.69765585,9.172955163
203,1,62020,1,12965.7001,1,11.03521219,9.470062696
204,1,9458,2,2014,0,9.154616223,7.607878073
206,1,97040,1,39873,0,11.48287854,10.59345468
207,1,90000,1,19246.25,0,11.40756495,9.865071516
208,1,31700,1,6212.2,0,10.36407196,8.73427038
209,1,49000,1,16127.4501,0,10.79957558,9.688278074
210,1,30000,1,7517.75,0,10.30895266,8.92502217
211,1,128305,1,47609.4952,0,11.76216552,10.7707875
212,1,345084,1,22825.2832,0,12.75154314,10.03562411
213,1,49462,1,5734.5,0,10.80895998,8.654255842
215,1,156000,1,28358.2832,3,11.95761129,10.25267444
216,1,50000,1,13672.25,0,10.81977828,9.52312351
218,1,2270,1,9871,0,7.72753511,9.197356444
219,1,230000,1,64107.783,0,12.34583459,11.06832106
220,1,13800,1,6116.5,2,9.532423871,8.718745316
221,1,60000,1,10129.5,0,11.00209984,9.223207238
223,1,123253,1,23732.5,0,11.72199443,10.0746007
224,1,110000,1,12529.75,0,11.60823564,9.435861096
225,1,15210,1,3786,0,9.629708385,8.239065332
226,1,41906,1,7869,0,10.64318429,8.970686269
227,1,214474,1,19507.7499,0,12.2759438,9.878567096
228,1,39372,1,13374,0,10.58081018,9.501067803
229,1,87000,1,15303.7499,0,11.3736634,9.635853169
230,2,123600,1,26482.7501,2,11.72480582,10.18424886
231,1,28700,1,8070.7501,1,10.2646524,8.996001706
232,1,63000,1,12963.0001,0,11.05089001,9.469854432
233,1,203000,1,20403.7499,0,12.22096126,9.923473982
234,1,14822,1,4123,0,9.603867843,8.324336333
235,1,37626,1,4615.5,0,10.53545058,8.437175483
236,2,20786,1,9167,0,9.942034962,9.123365358
237,1,13578,1,10611,0,9.516206115,9.269646478
238,1,34000,1,8606.8499,0,10.4341158,9.060313665
239,1,172000,4,26464.5001,1,12.05524976,10.1835595
240,1,42200,1,7230.15,1,10.6501755,8.886015062
242,1,78600,1,14732.2499,1,11.27212698,9.59779424
243,1,95000,1,10337.7501,0,11.46163217,9.243557533
246,1,9805,1,10868.1499,6,9.190647739,9.293591763
247,1,14412,6,6278,0,9.575816472,8.744806737
248,1,18000,1,6351.25,4,9.798127037,8.756406923
249,1,215000,1,22792,0,12.27839331,10.03416488
250,1,65000,1,41248.2501,1,11.08214255,10.62736397
251,1,29000,1,6149,0,10.27505111,8.724044746
253,1,413084,1,18613.2501,2,12.93140624,9.831628977
254,1,70000,1,17593.6,0,11.15625052,9.775290479
256,1,50000,1,8414.4999,0,10.81977828,9.037711675
257,1,21000,1,5324.7501,0,9.952277717,8.58012106
258,2,54626,1,8262,0,10.90826524,9.019421968
259,1,140750,2,25460.7833,2,11.85474055,10.14489464
260,1,25633,2,7903.0001,0,10.15163586,8.974997726
261,1,143514,1,32378.5,1,11.87418787,10.3852499
262,1,31000,4,13909.9499,3,10.34174248,9.540359683
263,1,63000,1,10145.5999,2,11.05089001,9.224795383
264,1,12288,1,8743.95,3,9.416378455,9.076117312
265,1,33107,1,4750.5001,0,10.40750002,8.466005176
266,1,20000,2,2381.5,0,9.903487553,7.77548582
267,1,16280,1,6451.25,0,9.69769264,8.772029189
268,1,87000,1,18293.0502,0,11.3736634,9.814276496
269,1,36552,1,11685.0001,0,10.50649118,9.366061256
270,1,45328,4,9927.5001,0,10.72168022,9.203063973
271,1,48000,1,9794.95,5,10.77895629,9.189622226
272,1,13107,1,3970,0,9.480901718,8.286521374
273,2,38556,1,2463.7001,1,10.55986701,7.809419605
274,1,76400,1,25524.75,0,11.24373798,10.14740385
275,1,24278,1,9691,0,10.09732587,9.178952899
276,1,107200,1,13429.75,1,11.58245153,9.505227674
277,1,24000,4,8614.7,0,10.08580911,9.061225325
278,1,100000,1,16354.5001,0,11.51292546,9.702258374
279,1,45600,1,6373.6499,0,10.727663,8.759927567
280,1,384334,1,29084.5664,0,12.85926725,10.27796295
281,1,40050,1,7249,0,10.59788395,8.888618807
283,1,7200,1,1495.7501,0,8.881836305,7.310383099
285,1,51000,1,5139.5001,0,10.83958091,8.544711097
286,1,17958,1,2587,0,9.795790977,7.858254182
287,1,92000,1,14892.5,0,11.42954386,9.60861301
288,1,343084,1,20541.5001,0,12.74573059,9.930202514
290,1,50826,1,10384,0,10.83616331,9.248021439
291,1,19156,1,9637.1501,0,9.860371261,9.173380711
292,1,27300,1,28510.2832,0,10.21464198,10.25802012
293,1,57035,1,12879.2501,0,10.95142039,9.463372776
294,1,35400,1,12864.2001,0,10.4744671,9.462203546
295,1,110812,1,13921,0,11.61559035,9.54115377
296,1,131433,1,11175,0,11.7862525,9.321434419
297,1,42126,1,26240.5001,0,10.64842041,10.1750593
298,1,2200,1,4840,0,7.696212639,8.48467
299,1,12000,1,4101.7999,0,9.392661929,8.319181156
300,1,107340,1,12196,0,11.58375665,9.408863308
301,1,32000,1,7965,0,10.37349118,8.982812222
304,1,18612,1,6574,0,9.831561813,8.790877754
306,1,11100,3,4354.2499,4,9.314700387,8.378907636
307,1,72000,4,18453,2,11.1844214,9.822982238
308,1,25607,1,5605.2501,0,10.15062103,8.631458955
309,1,44140,1,11984,0,10.69512168,9.391327706
310,1,37676,1,18963.2501,0,10.53677857,9.85025818
311,1,10614,2,2867,0,9.269929163,7.961021466
313,1,95000,1,8940.0001,0,11.46163217,9.098290879
314,1,1626,1,12632,0,7.39387829,9.443988556
316,1,28000,2,7769.5,1,10.23995979,8.957961091
317,2,40550,1,4375.5999,2,10.61029106,8.383798909
318,1,23736,1,4583.9999,0,10.07474816,8.430327237
319,1,110200,1,24350.7501,0,11.61005218,10.10031793
320,1,84000,1,15602.6001,2,11.33857208,9.655192852
321,1,55000,2,10699.0001,1,10.91508846,9.277905567
323,1,343084,1,35021.5332,0,12.74573059,10.46371839
324,1,165640,1,34487.2501,1,12.01757204,10.44834497
326,1,49452,1,17404,0,10.80875778,9.764455344
327,1,92000,1,34921.5001,0,11.42954386,10.46085797
328,1,343329,1,44254.5,1,12.74644445,10.69771234
329,1,176960,2,29547.0001,1,12.083679,10.2937375
330,1,46000,1,10147.75,0,10.73639668,9.225007285
331,1,27402,4,12592.0501,1,10.21837128,9.440820949
332,1,13235,1,9220.7499,0,9.490620115,9.129211647
333,1,150000,1,38015.75,2,11.91839057,10.54575583
334,1,100,1,3578.0001,0,4.605170186,8.182559292
335,1,52240,1,8513.1,3,10.86360376,9.049361433
336,1,100000,1,27661.1999,0,11.51292546,10.22778598
337,1,160000,6,20197.5664,0,11.98292909,9.913317401
338,2,43000,1,9642.1,0,10.66895539,9.173894206
339,1,17400,1,8815.7501,0,9.764225485,9.084295185
341,1,143648,1,20519.5003,0,11.87512114,9.929130947
342,1,11634,1,2345,0,9.361687124,7.760040681
343,1,27000,1,6715.5001,1,10.20359214,8.812173581
344,1,25000,6,6410.2501,0,10.1266311,8.765653566
345,1,50000,1,9927.25,0,10.81977828,9.20303878
346,1,12000,2,2649.5,0,9.392661929,7.882126222
347,1,14000,1,20613,0,9.546812609,9.933677224
348,2,26200,1,9567,0,10.17351469,9.166074956
349,1,36531,2,7233.7501,0,10.50591649,8.886512867
350,1,110000,1,19339.75,2,11.60823564,9.869917842
351,1,32378,1,12233.5,2,10.38523446,9.411933369
352,1,28327,1,8750.5,0,10.25157069,9.076866121
353,1,14826,6,19684.5,0,9.604137675,9.887586803
355,1,3150,4,23985.45,0,8.055157732,10.08520268
356,1,60000,1,13877.2832,0,11.00209984,9.53800848
357,1,87752,1,14926.4999,0,11.38226993,9.610893429
358,1,87600,6,12053,0,11.38053628,9.397068871
359,1,18000,1,8721.25,0,9.798127037,9.073517855
360,1,40000,1,9672,0,10.59663473,9.176990392
361,1,110000,4,11824.85,0,11.60823564,9.377958528
362,1,250000,1,25048.3332,0,12.4292162,10.12856257
363,1,100000,1,51150.6,0,11.51292546,10.8425295
364,1,10700,1,1019.75,0,9.27799902,6.927312778
365,1,125000,1,30808.75,0,11.73606902,10.33555402
366,1,55506,1,10049.25,0,10.9242464,9.215253284
367,1,206000,1,33490.9998,0,12.23563145,10.41903202
368,1,18489,4,8104.5,0,9.82493124,9.000174742
369,1,181700,1,22431.2501,0,12.11011225,10.01821036
371,1,157000,2,13686.6333,2,11.96400108,9.524174964
372,1,93000,1,12661.45,1,11.44035477,9.446317223
373,2,882,1,4012,0,6.782192056,8.297045149
374,1,38375,1,12298,0,10.55516148,9.417191927
375,1,77226,1,11715.5,1,11.25449147,9.36866803
377,1,15526,1,6706,0,9.650271317,8.810757927
378,1,33462,1,17381.5,0,10.41816575,9.763161701
379,1,117371,1,24230.8163,0,11.67309514,10.0953805
380,2,77000,1,9227.8002,0,11.2515607,9.129975968
382,1,21074,1,14598,0,9.955795332,9.588639812
383,1,343084,1,29644.2501,1,12.74573059,10.29702346
384,1,102000,2,9573.2499,0,11.53272809,9.166728019
385,1,37000,2,6363.7501,0,10.51867319,8.758373121
386,1,43226,1,10915.25,0,10.67419745,9.297916173
387,1,99000,1,17423.15,0,11.50287513,9.765555061
388,1,47932,2,13170,0,10.77753862,9.485696795
389,1,3135,2,3122,0,8.050384453,8.046229101
390,1,33000,2,6465.2501,0,10.40426284,8.774196976
391,1,64000,1,8377.25,0,11.06663836,9.033274977
392,1,23016,4,8388.0001,2,10.04394491,9.034557404
394,1,17600,1,14078.25,1,9.775654181,9.552386332
395,1,24048,1,6591.25,3,10.08780711,8.793498291
396,1,75000,1,14725.5999,2,11.22524339,9.597342748
397,1,77000,1,15563.7501,2,11.2515607,9.652699778
398,1,24000,1,5344.3002,0,10.08580911,8.583785889
399,1,92000,1,24379.2499,2,11.42954386,10.10148764
400,1,75000,1,15222.65,0,11.22524339,9.630539729
401,1,7440,2,8410.75,3,8.914626128,9.037265929
402,1,52000,1,17232.6499,2,10.858999,9.754561113
403,1,22000,1,11745.75,0,9.998797732,9.371246752
404,1,80700,2,13501.7501,0,11.29849385,9.510574593
405,1,58762,1,16053.2501,0,10.98125067,9.683666607
407,1,3200,1,4315,0,8.070906089,8.369852604
408,1,35000,1,12830.5001,0,10.46310334,9.459580436
409,1,167000,1,31969.5003,1,12.02574909,10.37253761
410,1,37626,1,9237,0,10.53545058,9.130972437
411,1,31000,2,5331.5001,0,10.34174248,8.581387922
412,1,28452,1,7301,0,10.25597374,8.895766604
413,1,9085,1,5847,2,9.114379981,8.673683988
414,1,99100,1,11481.2502,0,11.50388472,9.348470566
415,1,60000,1,8896.5,0,11.00209984,9.09341322
416,1,16404,1,4920.5,0,9.705280487,8.50116543
417,1,110100,1,9461.75,0,11.60914432,9.155012634
418,2,46644,1,14968.2499,0,10.75029958,9.613686563
419,1,13328,1,38206,0,9.497622364,10.55074785
420,1,57000,1,6549.2501,0,10.95080655,8.787105834
421,1,36000,1,4799.5,0,10.49127422,8.476267025
422,1,43200,1,15501.2501,1,10.67359577,9.648675951
423,1,14580,1,3074,0,9.587406006,8.030734924
424,1,41148,1,7303.9999,0,10.6249306,8.896177409
425,1,22494,1,6274,0,10.02100389,8.744169389
426,1,75000,1,13220.5001,0,11.22524339,9.489523942
427,1,85000,4,19488.0332,1,11.35040654,9.877555874
428,1,42000,1,7464.4999,0,10.6454249,8.917913715
429,1,103650,1,19083.25,2,11.54877512,9.856566266
430,1,65200,1,6340.25,0,11.08521475,8.754673479
432,1,2369,1,12717,0,7.770223204,9.45069496
433,1,103000,1,15796.0001,0,11.54248427,9.667512029
434,1,150100,1,56147.2833,2,11.91905702,10.93573358
435,1,65000,6,10679.2501,0,11.08214255,9.276057895
436,1,85000,2,11223.7501,0,11.35040654,9.325787357
437,1,10824,1,2224,0,9.28952117,7.707062655
438,1,27539,1,16544,0,10.22335846,9.713778777
439,1,138000,1,64853.7499,1,11.83500896,11.07989001
440,1,7200,1,2172,0,8.881836305,7.683403681
441,1,132000,1,27610.7499,3,11.7905572,10.22596047
442,2,32926,1,7270.65,0,10.4020179,8.891600975
443,1,90000,1,15391.25,0,11.40756495,9.641554445
444,1,105226,1,19606.1499,0,11.5638657,9.883598566
446,1,29200,1,12135.9999,0,10.28192399,9.403931513
447,1,12000,1,6444.1501,0,9.392661929,8.770928037
448,1,216553,1,24260.5332,4,12.2855906,10.09660616
449,1,27407,1,7223,0,10.21855373,8.885025658
450,1,4500,1,11332.4501,0,8.411832676,9.33542558
451,1,175015,1,22436.55,2,12.07262696,10.0184466
452,1,403084,2,17709.9999,1,12.90690026,9.781884725
453,1,56556,1,14664.0001,0,10.94298658,9.593150796
454,1,10474,2,1732,0,9.256651275,7.457032089
455,1,40198,2,6654.75,0,10.60157252,8.803086164
456,1,100346,1,11591.2999,2,11.51637949,9.358010087
457,1,55500,2,8927.4999,2,10.9241383,9.096891668
460,1,69500,1,9069.2499,0,11.14908203,9.112644838
461,1,62660,1,11759.7501,0,11.04547856,9.372437971
462,1,92000,1,14013.5001,1,11.42954386,9.547776437
463,1,107726,1,15887.25,0,11.58734625,9.67327218
464,1,50619,1,14598.5002,0,10.83208228,9.588674076
465,1,62680,1,6685.3333,0,11.0457977,8.807671346
467,2,23226,1,6241.3333,0,10.05302762,8.738949108
468,1,22000,6,4182.1667,0,9.998797732,8.338584741
469,1,123200,1,11088.1667,0,11.72156433,9.313633756
470,1,1602,1,3684.3333,0,7.379008128,8.211844866
471,1,109345,1,9435.1667,0,11.6022633,9.152199126
472,1,51800,1,17180.6667,0,10.85514543,9.751540002
473,1,35077,1,18248,0,10.46530092,9.811810764
475,1,12582,1,2652.6667,0,9.4400225,7.883320715
477,1,120000,1,11063.5999,1,11.69524702,9.31141571
478,1,18426,1,2574.3333,0,9.82151799,7.853345867
480,1,35652,1,6222.5667,0,10.48156053,8.735937753
481,1,13000,1,2575.5001,0,9.472704636,7.853799008
482,1,24000,2,2397.3333,0,10.08580911,7.782112274
483,1,1626,2,2404.5,0,7.39387829,7.785097261
484,1,19584,1,7023.6667,0,9.882468185,8.857040683
485,2,31680,3,4064.3333,2,10.36344085,8.310004999
486,1,30198,4,5162.7999,0,10.31553098,8.549234328
487,1,28000,1,5617.3333,2,10.23995979,8.633612328
488,1,52000,1,10881.6667,0,10.858999,9.294834698
489,1,130000,1,14601.0333,0,11.77528973,9.588847579
490,1,13811,1,2047.3333,0,9.533220655,7.624293396
491,1,107669,1,14089.1667,6,11.58681699,9.553161462
493,1,1626,1,5717.6667,0,7.39387829,8.651316082
494,1,445084,1,32237.3555,0,13.00601831,10.38088117
495,1,168000,1,18585.6667,2,12.03171926,9.830145955
496,1,50000,1,7260.6666,0,10.81977828,8.890226922
497,1,47321,1,33212.6667,0,10.76470945,10.41068661
498,1,97364,1,10362.5222,0,11.48621181,9.245950942
499,1,35000,1,4727.0001,0,10.46310334,8.461046052
502,1,72000,1,10952.3333,0,11.1844214,9.301307799
503,1,40632,1,10344.3333,0,10.61231121,9.244194142
504,1,29346,2,6513.3333,0,10.28691153,8.781606632
505,1,64987,4,8742.6667,0,11.08194253,9.075970537
506,2,32452,1,5315.6667,0,10.38751735,8.57841372
507,1,26634,1,7288.3333,0,10.18994387,8.894030171
508,1,44626,1,4635.7667,0,10.70607193,8.44155688
509,1,8475,1,2986,3,9.044875932,8.001689978
510,2,55117,1,9833.4999,0,10.91721348,9.193550192
511,1,57600,4,5223.0001,0,10.96127785,8.560827248
512,1,10512,2,2973.5,0,9.260272741,7.997494989
513,1,120000,1,14367.6667,2,11.69524702,9.572735593
514,1,31904,1,7237.1668,0,10.37048667,8.886985083
515,1,75000,1,3026.3334,0,11.22524339,8.015107067
516,2,62000,1,12226.9333,0,11.03488966,9.411396445
517,1,136582,1,11583.2333,0,11.82468045,9.357313926
519,1,50832,1,3518.6667,0,10.83628136,8.165837418
520,1,24000,1,3540.9667,0,10.08580911,8.172155048
522,1,45362,1,9492.3333,0,10.72243003,9.158239731
523,1,87433,1,21621.6667,0,11.37862806,9.981451179
524,1,89400,1,10401.8334,2,11.40087596,9.249737358
525,2,7000,1,5375.5999,0,8.853665428,8.589625456
527,1,14001,1,1491.8333,0,9.546884035,7.307761045
528,1,26400,4,3974.5,2,10.18111929,8.287654233
529,1,18330,1,2164.3333,0,9.816294341,7.679867648
530,2,46617,1,10504.6001,0,10.74972056,9.259568545
531,1,13000,2,3997.8334,1,9.472704636,8.293507843
532,1,15500,1,6781.4333,0,9.648595303,8.82194376
533,2,13766,1,2359,0,9.529957063,7.765993079
534,1,65482,1,10078.8333,0,11.08953057,9.218192791
535,1,98040,1,17303.0222,0,11.49313084,9.758636459
536,1,11700,1,6901.6667,2,9.367344121,8.839518212
537,1,191000,1,10598.6667,0,12.16002871,9.268483489
538,1,48000,1,3240,1,10.77895629,8.083328609
539,1,34700,1,3675.7334,0,10.45449497,8.209507956
540,1,34000,1,5267.1667,1,10.4341158,8.569247869
541,1,34000,2,5936.7333,1,10.4341158,8.688914312
542,1,468084,1,14989.8334,2,13.05640305,9.615127477
543,1,400,2,7314.9667,1,5.991464547,8.897677761
544,1,24426,1,3526.0001,0,10.10340342,8.167919391
545,1,40000,1,6631.3333,0,10.59663473,8.799561164
546,1,21304,1,3145.6667,0,9.966650127,8.053781134
547,2,16800,1,6219.3333,0,9.729134165,8.735417993
548,1,26000,1,3941.1667,0,10.16585182,8.279232075
549,1,51000,1,12067.3333,0,10.83958091,9.398257353
550,1,108000,1,18182.3333,2,11.58988651,9.808205704
551,1,145000,1,8756.1667,0,11.88448902,9.077513497
552,1,185000,4,60761.0222,2,12.1281111,11.01470378
553,1,343185,1,28316.1447,2,12.74602494,10.25118741
554,1,5000,1,4088.1666,0,8.517193191,8.315851884
555,1,110000,1,11831.8333,0,11.60823564,9.378548915
556,1,70000,1,4970.8333,0,11.15625052,8.511342771
557,1,34878,4,4433,0,10.45961154,8.396831835
558,1,7500,1,2155.8334,1,8.9226583,7.675932656
559,1,1285,1,2716,0,7.158513997,7.906915489
